building_room_crn,room_code,Min Useless Seats,number of class,chair_movable
WRIGHT WEIN,FM137_022,223.0,2,False
SEELYE 310,FM133_310,182.0,9,True
SCOTT DANCE,FM131_S350,66.0,10,True
HILLYR GRAHAM,FM112_HL13,52.0,6,False
SEELYE 201,FM133_201,49.0,8,False
SAGE RECIT,FM129_00R,42.0,2,True
MCCONN 406,FM121_406,39.0,3,True
MCCONN 103,FM121_103,34.0,6,True
STODRD G2,FM134_00G2,33.0,4,False
SEELYE 110,FM133_110,31.0,8,True
SAB-RD 104,FM128_SR104,29.0,2,True
THEATR 100,FM103_T100,28.0,2,True
HILLYR 106,FM112_H106,27.0,2,False
SEELYE 312,FM133_312,26.0,7,True
SEELYE 106,FM133_106,19.0,10,False
SEELYE 211,FM133_211,19.0,8,True
FORD 342,FM138_342,19.0,3,True
SEELYE 308,FM133_308,19.0,7,True
FORD 022/024,FM138_024,18.0,8,True
SEELYE 411,FM133_411,18.0,3,True
FORD 326,FM138_326,18.0,7,False
SEELYE 107,FM133_107,17.0,10,True
SAB-RD 205,FM128_SR205,17.0,1,True
HILLYR 207E,FM112_H207E,16.0,2,True
THEATR 114,FM103_T114,16.0,10,True
SEELYE 101,FM133_101,16.0,8,True
SEELYE 202,FM133_202,15.0,6,True
BURTON 209,FM104_B209,15.0,6,True
SEELYE 206,FM133_206,15.0,8,True
THEATR 109,FM103_T109,14.0,3,False
FORD 241,FM138_241,14.0,5,True
SAB-RD 411,FM128_SR411,13.0,1,True
BURTON 110,FM104_B110,13.0,2,True
SEELYE 313,FM133_313,13.0,6,True
FORD 122,FM138_122,13.0,1,True
FORD 143,FM138_143,12.0,2,True
HATFLD 205,FM116_205,12.0,6,True
BURTON 301,FM104_B301,11.0,1,True
FORD 345,FM138_345,11.0,2,True
MCCONN B15,FM121_B15,10.0,4,False
SAB-RD 103,FM128_SR103,10.0,2,True
SEELYE 212,FM133_212,10.0,7,True
BASS 002,FM126_002,9.0,1,True
FORD 220,FM138_220,9.0,2,True
WRIGHT 237,FM137_237,9.0,3,True
SEELYE 109,FM133_109,9.0,10,True
HILLYR 109,FM112_H109,9.0,7,True
HATFLD 204,FM116_204,9.0,7,True
SEELYE 208,FM133_208,9.0,9,True
TRYON 134,FM112_T134,8.0,1,True
SAB-RD 223,FM128_SR223,8.0,3,True
SEELYE 311,FM133_311,8.0,8,True
FORD 320,FM138_320,8.0,5,True
BASS 203,FM126_203,8.0,7,True
MCCONN 404,FM121_404,8.0,6,True
SEELYE 301,FM133_301,8.0,7,False
MCCONN 201,FM121_201,8.0,2,True
MCCONN 104,FM121_104,8.0,7,True
BURTON B017,FM104_B017,8.0,3,True
HATFLD 107,FM116_107,8.0,10,True
SAB-RD 410,FM128_SR410,7.0,1,True
SAB-RD 305,FM128_SR305,7.0,5,True
SAB-RD 408,FM128_SR408,7.0,3,True
BASS 210,FM126_210,7.0,8,True
HATFLD 203,FM116_203,7.0,8,True
THEATR 207A,FM103_T207A,7.0,4,True
FORD 015,FM138_015,6.0,8,True
SEELYE 302,FM133_302,6.0,9,True
SAB-RD 308,FM128_SR308,6.0,2,True
SAB-RD 208,FM128_SR208,6.0,2,True
HATFLD 206,FM116_206,6.0,7,True
BURTON 219,FM104_B219,6.0,8,True
SAB-RD 419,FM128_SR419,6.0,2,True
SEELYE 105,FM133_105,5.0,9,True
SAGE 15,FM129_15,5.0,2,True
BASS 103,FM126_103,5.0,6,True
DEWEY 104,FM416_104,5.0,2,True
HATFLD 104,FM116_104,5.0,6,True
SAB-RD 204,FM128_SR204,5.0,2,True
SAB-RD 220,FM128_SR220,4.0,24,True
SAGE 216,FM129_216,4.0,1,True
WRIGHT 002,FM137_002,4.0,9,True
BURTON 101,FM104_B101,4.0,7,True
BURTON 307,FM104_B307,4.0,7,True
BASS 102,FM126_102,4.0,6,True
SEELYE 304,FM133_304,4.0,13,True
HATFLD 105,FM116_105,4.0,10,True
MCCONN 403,FM121_403A,4.0,6,True
SAB-RD 428,FM128_SR428,4.0,1,True
SAGE 16,FM129_16,3.0,8,True
BASS 204,FM126_204,3.0,5,True
FORD 120,FM138_120,3.0,3,True
SEELYE 204,FM133_204,3.0,11,True
SAB-RD 101,FM128_SR101,2.0,5,True
SEELYE 306,FM133_306,2.0,9,True
HATFLD 202,FM116_202,2.0,8,True
HATFLD 106,FM116_106,1.0,7,True
HILLYR 103,FM112_H103,1.0,6,True
FORD 226,FM138_226,1.0,3,True
SAB-RD 224,FM128_SR224,1.0,3,True
FORD 223,FM138_223,1.0,5,True
HATFLD 201,FM116_201,0.0,8,True
MCCONN 304,FM121_304,0.0,2,True
BASS 211,FM126_211,0.0,9,True
SAB-RD 106,FM128_SR106,0.0,1,True
SAB-RD 102,FM128_SR102,0.0,1,True
MCCONN 102,FM121_102,-3.0,8,True
HILLYR 212,FM112_H212,-4.0,1,False
FORD 323,FM138_323,-4.0,6,False
WRIGHT 238,FM137_238,-5.0,8,True
BURTON B001,FM104_B001,-5.0,1,False
HILLYR 218,FM112_H218,-5.0,2,True
HILLYR L18,FM112_HL18,-6.0,1,True
FORD 240,FM138_240,-8.0,8,True
HILLYR 320,FM112_H320,-8.0,4,True
SEELYE 102,FM133_102,-11.0,11,True
HILLYR L08,FM112_HL08,-12.0,2,False
SEELYE B4,FM133_00B4,-13.0,5,True
HILLYR L03,FM112_HL03,-14.0,1,False
SAB-RD 328A,FM128_SR328A,-15.0,4,False
HILLYR 211,FM112_H211,-15.0,1,
HILLYR L04,FM112_HL04,-17.0,1,False
HILLYR 203,FM112_H203,-17.0,3,
SAGE 215,FM129_215,-20.0,5,True
MCCONN B05,FM121_B05,-21.0,4,True
BERENS 3,FM103_BE3,-25.0,3,
